game_date,away,home,stadium,roof,signal,pred_hr_edge,pred_runs_edge,actual_hrs,actual_runs,actual_away_runs,actual_home_runs,status,verdict,temp_f,wind_mph,wind_from,wind_effect,humidity_pct,pressure_hpa,precip_pct,lf_ft,cf_ft,rf_ft,away_pitcher,away_throws,away_hr9,away_era,away_whip,away_goao,away_k9,away_bb9,away_profile,home_pitcher,home_throws,home_hr9,home_era,home_whip,home_goao,home_k9,home_bb9,home_profile
2026-06-17,BAL,SEA,T-Mobile Park,open,pitcher_strong,-22,-13,4,8,5,3,Final,wrong,72,7,N,IN-CROSS,75,1019,1,331,401,326,Kyle Bradish,R,1.35,4.30,1.57,1.53,8.96,4.79,GB,George Kirby,R,0.86,4.07,1.31,1.34,7.93,2.25,GB
2026-06-17,CLE,MIL,American Family Field,open,neutral,0,-5,3,13,4,9,Final,correct,58,10,SE,IN-CROSS,84,1003,34,335,400,325,Gavin Williams,R,1.35,3.32,1.10,1.16,10.28,2.91,GB,Brandon Sproat,R,1.8,5.70,1.48,1.0,8.55,4.50,gb/HR-PRONE
2026-06-17,COL,CHC,Wrigley Field,open,hitter_strong,23,12,6,14,6,8,Final,correct,61,14,N,OUT,72,1003,86,355,400,353,Sean Sullivan,L,0.0,0.00,0.67,0.17,6.00,0.00,FB/HR-SUPPRESS,Javier Assad,R,0.94,3.99,1.02,1.26,5.63,2.11,GB
2026-06-17,CWS,NYY,Yankee Stadium,open,hitter_strong,14,6,6,15,5,10,Final,correct,75,11,SSE,IN-CROSS,76,1011,22,318,408,314,Anthony Kay,L,1.36,4.34,1.42,1.03,7.19,3.66,gb,Carlos Rodón,L,0.58,3.19,1.19,0.68,9.87,5.52,fb/HR-SUPPRESS
2026-06-17,DET,HOU,Minute Maid Park,open,hitter,8,3,3,6,2,4,Final,correct,86,11,S,IN,100,1006,13,315,409,326,Casey Mize,R,0.38,2.27,0.97,0.62,9.25,2.27,FB/HR-SUPPRESS,Peter Lambert,R,0.79,3.47,1.21,0.84,8.37,3.95,BAL/HR-SUPPRESS
2026-06-17,KC,WSH,Nationals Park,open,hitter_strong,12,6,4,8,6,2,Final,correct,85,6,SSW,OUT,76,1010,2,335,402,326,Luinder Avila,R,1.13,6.19,1.81,1.23,7.88,6.19,GB,Zack Littell,R,2.18,5.32,1.35,0.61,5.32,2.86,FB/HR-PRONE
2026-06-17,LAA,AZ,Chase Field,closed,hitter_strong,14,6,2,9,1,8,Final,correct,72,0,N,ROOF CLOSED,50,1013,0,330,401,334,Sam Aldegheri,L,0.53,2.12,1.29,0.41,6.35,4.24,FB/HR-SUPPRESS,Eduardo Rodriguez,L,0.89,2.55,1.23,0.91,6.64,3.54,BAL
2026-06-17,MIA,PHI,Citizens Bank Park,open,hitter_strong,16,7,5,16,12,4,Final,correct,82,7,W,IN-CROSS,81,1011,1,330,401,326,Sandy Alcantara,R,1.11,4.25,1.22,1.02,6.57,2.13,gb,Andrew Painter,R,1.71,6.43,1.59,0.59,7.14,3.14,FB/HR-PRONE
2026-06-17,NYM,CIN,Great American Ball Park,open,hitter_strong,23,13,0,10,9,1,Final,correct,83,19,SSW,IN-CROSS,84,1008,3,328,392,325,Nolan McLean,R,0.94,4.01,1.14,1.39,10.38,3.66,GB,Nick Lodolo,L,1.89,5.21,1.45,0.86,7.11,3.55,BAL/HR-PRONE
2026-06-17,PIT,ATH,Sutter Health Park,open,hitter_strong,34,23,4,16,12,4,Final,correct,85,8,SW,OUT,41,1007,0,330,403,325,Braxton Ashcraft,R,0.85,3.30,1.10,1.09,9.57,2.02,gb,Aaron Civale,R,1.94,4.20,1.47,0.52,6.31,2.75,FB/HR-PRONE
2026-06-17,SD,STL,Busch Stadium,open,hitter_strong,11,5,1,7,6,1,Final,partial,87,16,WSW,OUT,51,981,23,330,400,325,TBD,,,,,,,,???,Kyle Leahy,R,1.27,4.64,1.59,1.13,7.31,3.52,GB
2026-06-17,SF,ATL,Truist Park,open,hitter,5,0,4,12,7,5,Final,wrong,81,29,SSW,IN-CROSS,66,1005,27,335,400,325,TBD,,,,,,,,???,JR Ritchie,R,1.17,3.82,1.34,1.07,7.63,5.28,gb
2026-06-17,TB,LAD,Dodger Stadium,open,pitcher,-5,-8,1,9,4,5,Final,correct,64,6,WSW,OUT,85,993,0,330,395,330,Shane McClanahan,L,0.42,3.23,1.17,0.97,9.28,3.09,gb/HR-SUPPRESS,Shohei Ohtani,R,0.4,1.06,0.84,1.15,9.71,2.79,GB/HR-SUPPRESS
2026-06-17,TOR,BOS,Fenway Park,open,hitter_strong,16,9,0,3,3,0,Final,wrong,74,13,S,OUT,55,1010,2,310,390,302,Max Scherzer,R,3.68,10.23,1.73,0.48,5.73,4.50,FB/HR-PRONE,Jake Bennett,L,0.59,5.28,1.50,1.43,4.70,2.93,GB/HR-SUPPRESS
