Rk.	Team	Venue	Year	Park Factor	wOBAcon	xwOBAcon	BACON	xBACON	HardHit	R	OBP	H	1B	2B	3B	HR	BB	SO	PA
1	Rockies	Coors Field	2025-2026	114	114	102	114	103	100	130	112	119	116	129	205	106	97	90	24,965
2	Athletics	Sutter Health Park	2025-2026	110	110	99	109	100	96	121	109	109	104	121	76	116	108	95	25,014
3	Nationals	Nationals Park	2025-2026	103	103	104	103	104	105	106	103	105	107	99	103	106	96	95	25,499
4	Rays	Tropicana Field	2025-2026	103	103	101	100	100	93	106	100	105	99	113	133	119	93	91	6,107
5	Orioles	Oriole Park at Camden Yards	2025-2026	103	105	101	104	101	103	106	101	105	103	103	106	115	94	100	25,558
6	Phillies	Citizens Bank Park	2025-2026	102	105	99	105	100	100	104	100	104	104	97	112	113	93	107	25,280
7	Blue Jays	Rogers Centre	2025-2026	102	101	102	100	101	101	104	101	101	100	99	58	115	99	98	26,592
8	Dodgers	UNIQLO Field at Dodger Stadium	2025-2026	102	104	104	100	103	103	104	100	98	92	96	65	135	104	105	26,427
9	Red Sox	Fenway Park	2025-2026	102	100	99	103	100	101	104	104	104	106	113	104	80	101	94	25,102
10	Tigers	Comerica Park	2025-2026	102	103	99	101	99	99	104	101	102	101	94	171	108	101	100	24,472
11	Yankees	Yankee Stadium	2025-2026	101	100	102	97	99	106	102	100	94	91	90	98	116	116	102	24,972
12	D-backs	Chase Field	2025-2026	101	99	100	99	100	101	102	101	102	99	110	224	89	97	90	24,768
13	Reds	Great American Ball Park	2025-2026	101	102	102	99	101	96	102	100	97	93	96	72	121	110	104	24,933
14	Mets	Citi Field	2025-2026	100	99	102	100	102	102	100	101	99	103	89	80	97	103	101	25,347
15	Astros	Daikin Park	2025-2026	100	103	98	100	98	99	100	98	98	95	96	78	115	103	110	24,502
16	Twins	Target Field	2025-2026	100	99	99	101	100	99	100	102	102	105	108	75	85	96	96	25,620
17	Royals	Kauffman Stadium	2025-2026	99	96	99	97	100	102	98	99	101	99	113	177	85	100	92	24,528
18	Angels	Angel Stadium	2025-2026	99	102	100	101	99	100	98	99	98	99	92	106	105	95	108	24,653
19	Braves	Truist Park	2025-2026	99	100	100	101	101	100	98	100	101	104	93	94	99	98	102	24,635
20	Brewers	American Family Field	2025-2026	98	99	96	99	97	94	96	99	95	96	93	80	96	107	108	25,893
21	Cubs	Wrigley Field	2025-2026	98	98	101	97	100	103	96	98	96	96	84	134	108	102	101	25,225
22	White Sox	Rate Field	2025-2026	98	96	100	96	99	101	96	98	96	97	89	65	100	102	97	24,643
23	Giants	Oracle Park	2025-2026	98	97	96	99	97	94	96	99	101	105	101	123	83	96	96	24,439
24	Pirates	PNC Park	2025-2026	98	99	100	101	101	102	96	100	101	102	118	96	75	96	101	25,344
25	Cardinals	Busch Stadium	2025-2026	97	94	99	98	100	104	94	99	104	111	108	51	78	87	88	25,033
26	Marlins	loanDepot park	2025-2026	97	95	98	97	98	99	94	98	97	98	104	139	81	97	98	24,974
27	Guardians	Progressive Field	2025-2026	96	97	99	98	100	96	92	98	96	100	92	57	87	103	107	24,130
28	Padres	Petco Park	2025-2026	94	93	99	93	98	97	88	96	91	94	82	73	94	111	104	24,675
29	Mariners	T-Mobile Park	2025-2026	93	96	100	95	100	100	86	93	92	90	96	28	103	94	113	26,432
30	Rangers	Globe Life Field	2025-2026	91	90	98	91	97	99	83	92	92	93	94	66	83	92	102	24,039
