#	Name	Team	K/9 K/9 - Strikeouts per 9 Innings ((SO*9)/IP)	BB/9 BB/9 - Walks per 9 Innings ((BB*9)/IP)	K-BB% K-BB% - The difference between strikeout percentage and walk percentage	xFIP xFIP - Expected Fielder Independent Pitching where Home Runs are calculated as 10.5% of Fly Balls induced	SIERA SIERA - Skill Interactive ERA	IP IP - Innings Pitched	gmLI gmLI - Average Leverage Index when entering the game	LD% LD% - Line Drive Percentage (LD/BIP)	GB% GB% - Ground Ball Percentage (GB/BIP)	FB% FB% - Fly Ball Percentage (FB/BIP)
1	Aaron Civale	ATH	6.00	6.00	0.0%	7.75	6.56	3.0	0.87	31.3%	18.8%	50.0%
2	Aaron Nola	PHI	8.38	2.79	13.0%	4.18	4.19	9.2	0.87	17.6%	44.1%	38.2%
3	Adrian Houser	SFG	13.50	1.69	28.0%	4.02	3.42	5.1	0.90	26.7%	6.7%	66.7%
4	Andre Pallante	STL	7.62	1.38	18.8%	3.13	2.91	13.0	0.89	5.9%	67.6%	26.5%
5	Andrew Abbott	CIN	9.90	5.40	11.4%	4.34	4.56	10.0	0.87	24.0%	32.0%	44.0%
6	Andrew Alvarez	WSN	11.25	4.50	16.4%	2.72	3.35	12.0	0.88	23.5%	61.8%	14.7%
7	Andrew Painter	PHI	13.50	9.00	7.1%	6.08	5.09	2.0	0.87	22.2%	33.3%	44.4%
8	Anthony Kay	CHW	9.00	2.00	16.3%	4.09	3.78	9.0	0.87	29.6%	40.7%	29.6%
9	Austin Warren	NYM	9.00	18.00	-14.3%	7.10	7.63	1.0	0.87	25.0%	75.0%	0.0%
10	Ben Brown	CHC	5.73	2.45	8.9%	4.95	5.07	11.0	0.90	22.9%	28.6%	48.6%
11	Bradgley Rodriguez	SDP	9.00	0.00	25.0%	1.10	1.26	1.0	0.92	33.3%	66.7%	0.0%
12	Brady Singer	CIN	8.18	3.27	13.0%	4.55	4.19	11.0	0.87	13.3%	46.7%	40.0%
13	Brandon Eisert	CHW	13.50	4.50	16.7%	4.58	4.05	2.0	0.90	25.0%	25.0%	50.0%
14	Brandon Sproat	MIL	8.38	2.79	16.7%	3.87	3.83	9.2	0.90	12.5%	41.7%	45.8%
15	Brandon Young	BAL	6.00	4.00	5.5%	4.34	4.82	18.0	0.90	15.4%	55.8%	28.8%
16	Braxton Ashcraft	PIT	9.00	4.09	12.8%	3.82	4.12	11.0	0.86	16.1%	51.6%	32.3%
