#	Name	Team	K/9 K/9 - Strikeouts per 9 Innings ((SO*9)/IP)	BB/9 BB/9 - Walks per 9 Innings ((BB*9)/IP)	K-BB% K-BB% - The difference between strikeout percentage and walk percentage	xFIP xFIP - Expected Fielder Independent Pitching where Home Runs are calculated as 10.5% of Fly Balls induced	SIERA SIERA - Skill Interactive ERA	IP IP - Innings Pitched	gmLI gmLI - Average Leverage Index when entering the game	LD% LD% - Line Drive Percentage (LD/BIP)	GB% GB% - Ground Ball Percentage (GB/BIP)	FB% FB% - Fly Ball Percentage (FB/BIP)
1	Aaron Civale	ATH	6.29	2.91	8.3%	5.20	5.12	58.2	0.88	24.1%	28.1%	47.8%
2	Aaron Nola	PHI	9.16	2.97	15.6%	3.81	3.91	75.2	0.84	19.2%	41.9%	38.9%
3	Adrian Houser	SFG	6.55	3.41	7.6%	4.84	4.88	66.0	0.87	22.1%	40.5%	37.4%
4	Andre Pallante	STL	7.28	2.93	11.5%	4.10	4.17	76.2	0.87	14.4%	53.3%	32.3%
5	Andrew Abbott	CIN	6.55	4.07	6.4%	4.93	5.08	79.2	0.87	18.5%	39.1%	42.4%
6	Andrew Alvarez	WSN	9.95	4.97	12.3%	3.37	3.94	12.2	0.88	22.2%	58.3%	19.4%
7	Andrew Painter	PHI	7.04	3.27	9.0%	5.07	4.81	55.0	0.87	18.5%	37.0%	44.4%
8	Anthony Kay	CHW	7.67	3.55	10.0%	4.73	4.52	63.1	0.86	21.1%	44.3%	34.5%
9	Bailey Ober	MIN	6.21	2.43	10.0%	4.93	4.81	66.2	0.87	17.0%	34.4%	48.6%
10	Ben Brown	CHC	8.72	2.34	18.3%	3.50	3.60	42.1	0.88	22.2%	40.7%	37.0%
11	Brady Singer	CIN	7.09	3.14	9.5%	4.70	4.63	66.0	0.87	20.6%	41.7%	37.7%
12	Brandon Pfaadt	ARI	5.94	3.24	6.8%	4.83	4.78	16.2	0.88	10.9%	52.7%	36.4%
13	Brandon Sproat	MIL	8.95	4.15	12.3%	4.41	4.33	56.1	0.86	17.9%	42.3%	39.7%
14	Brandon Williamson	CIN	6.11	6.43	-0.8%	6.45	6.22	28.0	0.87	17.4%	33.7%	48.8%
15	Brandon Woodruff	MIL	7.50	2.10	14.9%	4.57	4.35	30.0	0.87	16.1%	29.9%	54.0%
16	Brandon Young	BAL	6.35	3.32	7.9%	4.79	4.87	62.1	0.88	17.9%	40.5%	41.5%
17	Braxton Ashcraft	PIT	9.63	2.18	20.3%	3.30	3.33	90.2	0.88	18.2%	46.3%	35.5%
18	Brayan Bello	BOS	5.55	5.30	0.5%	5.52	5.61	35.2	0.88	20.3%	48.6%	31.2%
19	Braydon Fisher	TOR	11.12	6.35	12.5%	4.33	4.51	5.2	0.88	23.1%	30.8%	46.2%
20	Bryan Hudson	CHW	7.50	1.50	19.0%	3.68	3.61	6.0	0.87	7.1%	42.9%	50.0%
21	Bryan Woo	SEA	8.90	1.62	20.3%	3.69	3.50	89.0	0.88	17.5%	35.8%	46.7%
22	Bryce Elder	ATL	7.41	2.74	12.6%	4.04	4.23	88.2	0.87	19.3%	44.0%	36.7%
23	Bryce Miller	SEA	10.03	1.29	27.6%	2.88	2.71	35.0	0.88	15.6%	36.4%	48.1%
24	Bubba Chandler	PIT	8.13	5.37	6.8%	5.22	5.11	68.2	0.88	18.9%	35.2%	45.9%
25	Cade Cavalli	WSN	9.76	3.01	16.8%	3.90	3.72	74.2	0.88	18.6%	46.0%	35.3%
26	Cade Horton	CHC	4.91	2.45	7.7%	3.85	4.36	7.1	0.87	20.0%	55.0%	25.0%
27	Cade Povich	BAL	6.59	2.63	10.3%	5.14	4.69	13.2	0.87	9.3%	39.5%	51.2%
28	Cam Schlittler	NYY	10.33	1.71	24.7%	2.85	2.93	95.0	0.87	19.1%	42.8%	38.1%
29	Carlos Rodón	NYY	10.25	5.00	13.9%	3.98	4.21	36.0	0.86	19.3%	42.0%	38.6%
30	Carmen Mlodzinski	PIT	7.98	3.07	12.3%	4.01	4.25	44.0	0.88	23.2%	42.8%	34.1%
31	Carson Whisenhunt	SFG	3.60	3.60	0.0%	5.59	5.94	5.0	0.92	26.3%	36.8%	36.8%
32	Casey Mize	DET	8.94	2.24	18.9%	3.83	3.68	52.1	0.87	18.7%	33.1%	48.2%
33	Chad Patrick	MIL	6.99	4.76	5.8%	5.19	5.29	28.1	0.88	19.8%	32.1%	48.1%
34	Chase Burns	CIN	10.60	2.90	21.6%	3.29	3.29	80.2	0.88	17.9%	38.5%	43.6%
35	Chase Dollander	COL	7.90	5.27	6.8%	4.74	5.00	13.2	0.89	15.4%	46.2%	38.5%
36	Chase Petty	CIN	1.69	2.53	-2.2%	6.23	6.62	10.2	0.87	28.2%	28.2%	43.6%
37	Chris Bassitt	BAL	5.28	4.11	2.8%	5.51	5.41	46.0	0.87	21.7%	44.7%	33.5%
38	Chris Paddack	2 Tms	6.80	2.85	9.3%	4.76	4.71	41.0	0.87	22.6%	38.4%	39.0%
39	Chris Sale	ATL	10.57	2.30	22.6%	3.10	3.10	78.1	0.88	21.2%	44.9%	33.8%
40	Christian Scott	NYM	10.40	4.20	15.7%	4.14	4.01	40.2	0.87	30.1%	28.2%	41.7%
41	Clay Holmes	NYM	7.69	3.08	12.6%	3.66	3.94	52.2	0.88	16.0%	56.0%	28.0%
42	Cody Bolton	HOU	10.57	8.22	5.3%	5.25	5.40	7.2	0.88	26.3%	36.8%	36.8%
43	Cole Ragans	KCR	11.46	5.86	14.6%	4.37	4.28	35.1	0.84	12.2%	34.1%	53.7%
44	Coleman Crow	MIL	5.40	2.70	6.6%	5.31	5.14	16.2	0.88	20.0%	36.7%	43.3%
45	Colin Rea	CHC	6.47	3.79	6.7%	5.07	5.01	57.0	0.87	17.8%	42.2%	40.0%
46	Connelly Early	BOS	8.56	3.45	13.1%	4.34	4.22	75.2	0.87	18.1%	40.7%	41.2%
47	Connor Prielipp	MIN	8.89	3.72	13.0%	4.35	4.26	55.2	0.87	18.5%	39.5%	42.0%
