#	Name	Team	K/9 K/9 - Strikeouts per 9 Innings ((SO*9)/IP)	BB/9 BB/9 - Walks per 9 Innings ((BB*9)/IP)	K-BB% K-BB% - The difference between strikeout percentage and walk percentage	xFIP xFIP - Expected Fielder Independent Pitching where Home Runs are calculated as 10.5% of Fly Balls induced	SIERA SIERA - Skill Interactive ERA	IP IP - Innings Pitched	gmLI gmLI - Average Leverage Index when entering the game	Stuff+
1	Miles Mikolas	WSN	6.84	3.60	7.6%	4.32	4.55	25.0	0.87	91
2	Zack Littell	WSN	5.61	2.98	6.5%	5.60	5.36	51.1	0.87	83
3	Foster Griffin	WSN	8.57	2.46	16.4%	3.78	3.78	84.0	0.86	98
4	Richard Lovelady	WSN	8.59	4.91	9.7%	4.24	4.67	7.1	0.86	92
5	Jake Irvin	WSN	10.10	3.83	15.8%	4.17	3.92	51.2	0.87	99
6	PJ Poulin	WSN	5.23	2.61	7.3%	4.82	4.87	10.1	0.86	95
7	Cade Cavalli	WSN	9.76	3.01	16.8%	3.89	3.71	74.2	0.88	102
8	Andrew Alvarez	WSN	9.95	4.97	12.3%	3.36	3.93	12.2	0.88	95
9	Max Scherzer	TOR	5.73	4.50	2.9%	6.23	5.83	22.0	0.88	91
10	Patrick Corbin	TOR	6.34	2.95	8.5%	4.60	4.75	61.0	0.87	93
11	Kevin Gausman	TOR	8.90	1.66	20.1%	3.50	3.46	87.0	0.83	98
12	Dylan Cease	TOR	13.56	3.82	26.1%	2.52	2.85	73.0	0.87	108
13	Braydon Fisher	TOR	11.12	6.35	12.5%	4.32	4.50	5.2	0.88	96
14	Spencer Miles	TOR	6.00	4.50	3.6%	4.50	4.71	6.0	0.87	102
15	Trey Yesavage	TOR	8.67	4.09	12.5%	4.51	4.43	55.0	0.88	110
16	Nathan Eovaldi	TEX	8.55	2.16	17.1%	3.54	3.59	87.1	0.88	96
17	Jacob deGrom	TEX	10.45	1.76	24.3%	3.22	3.09	76.2	0.87	109
18	MacKenzie Gore	TEX	9.92	4.04	15.2%	4.05	4.02	78.0	0.88	99
19	Jack Leiter	TEX	9.34	3.94	13.5%	4.23	4.19	80.0	0.88	102
20	Kumar Rocker	TEX	7.19	3.96	8.0%	4.61	4.75	61.1	0.87	92
21	Nick Martinez	TBR	5.42	1.52	10.6%	4.42	4.65	83.0	0.88	99
22	Steven Matz	TBR	7.24	3.33	10.3%	4.54	4.64	46.0	0.87	96
23	Jesse Scholtens	TBR	8.71	3.48	12.8%	4.92	4.29	10.1	0.87	93
24	Griffin Jax	TBR	7.97	2.83	14.3%	3.67	3.98	35.0	0.88	105
25	Shane McClanahan	TBR	9.18	3.59	14.6%	3.81	3.98	67.2	0.87	108
26	Drew Rasmussen	TBR	9.45	1.46	23.1%	2.80	2.97	80.0	0.86	107
27	Ian Seymour	TBR	10.50	1.50	27.3%	3.74	3.31	6.0	0.87	104
28	Joe Boyle	TBR	9.19	3.45	15.2%	4.01	3.98	15.2	0.88	106
29	Dustin May	STL	8.27	2.31	16.4%	3.71	3.75	81.2	0.87	103
30	Matthew Liberatore	STL	8.34	3.36	12.5%	4.15	4.29	72.1	0.88	98
31	Kyle Leahy	STL	7.59	3.34	10.5%	4.16	4.39	70.0	0.88	89
32	Andre Pallante	STL	7.28	2.93	11.5%	4.09	4.16	76.2	0.87	97
33	Michael McGreevy	STL	5.86	2.18	10.3%	4.08	4.45	78.1	0.87	81
34	Hunter Dobbins	STL	9.35	5.19	10.3%	4.29	4.55	8.2	0.88	98
35	Robbie Ray	SFG	8.10	4.42	9.6%	4.86	4.82	73.1	0.88	97
36	Adrian Houser	SFG	6.55	3.41	7.6%	4.83	4.87	66.0	0.87	89
37	Tyler Mahle	SFG	9.05	3.81	13.3%	4.11	4.18	56.2	0.88	89
38	Logan Webb	SFG	7.77	2.27	14.9%	3.37	3.62	75.1	0.87	101
39	Trevor McDonald	SFG	8.65	3.16	14.1%	3.49	3.58	42.2	0.88	100
40	Landen Roupp	SFG	9.93	3.87	16.0%	3.44	3.78	74.1	0.87	99
41	Carson Whisenhunt	SFG	3.60	3.60	0.0%	5.58	5.93	5.0	0.92	95
42	Luis Castillo	SEA	8.80	3.19	13.9%	4.29	4.17	59.1	0.87	98
