#	Name	Team	BB% BB% - Walk Percentage (BB/PA)	AVG AVG - Batting Average (H/AB)	OBP OBP - On Base Percentage	wRC+ wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA	PA PA - Plate Appearances	K% K% - Strikeout Percentage (SO/PA)	SLG SLG - Slugging Percentage	wOBA wOBA - Weighted On Base Average (Linear Weights)	OPS OPS - On Base + Slugging Percentage
1	John Rave	KCR	20.0%	.500	.600	476	5	20.0%	1.750	.870	2.350
2	LaMonte Wade Jr.	HOU	33.3%	.500	.667	329	3	0.0%	1.000	.655	1.667
3	Logan Porter	LAA	33.3%	.500	.667	329	3	0.0%	1.000	.655	1.667
4	Jonah Cox	SFG	0.0%	.444	.444	269	9	33.3%	.889	.567	1.333
5	Luis Campusano	SDP	11.5%	.364	.462	254	26	19.2%	.864	.544	1.325
6	Junior Perez	CHW	14.3%	.333	.429	238	7	28.6%	.833	.521	1.262
7	Gabriel Gonzalez	MIN	50.0%	.500	.750	274	4	0.0%	.500	.573	1.250
8	Gage Workman	DET	0.0%	.313	.313	219	16	31.3%	.875	.493	1.188
9	Ronny Mauricio	NYM	0.0%	.333	.333	218	6	33.3%	.833	.491	1.167
10	Andrew Vaughn	MIL	5.1%	.436	.475	220	59	8.5%	.673	.494	1.147
11	Will Wilson	SEA	16.7%	.200	.333	196	6	16.7%	.800	.459	1.133
12	Denzer Guzman	LAA	13.3%	.308	.400	197	30	20.0%	.692	.460	1.092
13	Elias Díaz	2 Tms	0.0%	.389	.389	192	18	5.6%	.667	.453	1.056
14	Esteury Ruiz	MIA	5.4%	.324	.378	188	37	21.6%	.676	.447	1.055
15	CJ Abrams	WSN	8.2%	.326	.403	186	159	18.9%	.652	.444	1.055
16	Giancarlo Stanton	NYY	4.5%	.381	.409	191	44	25.0%	.643	.451	1.052
17	Nate Eaton	BOS	25.0%	.167	.375	177	8	37.5%	.667	.431	1.042
18	Shohei Ohtani	LAD	17.0%	.324	.443	179	176	21.0%	.590	.434	1.032
19	Ryan Jeffers	MIN	19.0%	.300	.444	185	63	19.0%	.580	.442	1.024
20	Donovan Walton	LAA	0.0%	.390	.390	184	42	16.7%	.634	.441	1.024
21	Michael Harris II	ATL	5.4%	.353	.388	180	147	19.0%	.626	.435	1.014
22	Paul Goldschmidt	NYY	6.3%	.349	.406	179	96	13.5%	.605	.433	1.011
23	Matt Olson	ATL	12.6%	.273	.368	170	174	22.4%	.640	.421	1.008
24	Joey Wiemer	WSN	16.4%	.326	.436	179	55	34.5%	.565	.433	1.002
25	Yordan Alvarez	HOU	15.2%	.292	.400	168	165	18.2%	.599	.418	.999
26	Mike Trout	LAA	21.1%	.257	.423	173	175	24.6%	.574	.425	.996
27	Ben Rice	NYY	11.2%	.313	.396	169	169	21.3%	.599	.420	.995
28	Jose Siri	LAA	3.0%	.367	.375	165	33	21.2%	.600	.413	.975
29	Munetaka Murakami	CHW	16.9%	.265	.395	167	124	33.9%	.578	.416	.974
30	Blake Dunn	CIN	6.7%	.397	.453	174	75	18.7%	.515	.427	.968
31	Carlos Cortes	ATH	11.1%	.330	.407	166	108	7.4%	.553	.415	.961
32	Dalton Rushing	LAD	10.6%	.278	.388	165	85	23.5%	.569	.413	.958
33	Brooks Lee	MIN	7.1%	.307	.366	161	154	16.9%	.586	.408	.952
34	Iván Herrera	STL	16.0%	.311	.463	171	175	15.4%	.481	.422	.944
35	Hunter Goodman	COL	6.8%	.282	.340	156	162	33.3%	.604	.400	.944
36	Freddie Freeman	LAD	14.3%	.296	.410	163	161	18.6%	.533	.411	.943
37	Nelson Velázquez	STL	14.3%	.250	.357	156	14	28.6%	.583	.401	.940
38	Max Muncy	LAD	15.4%	.293	.416	162	149	23.5%	.520	.408	.936
39	Randy Arozarena	SEA	10.3%	.346	.432	164	155	23.9%	.504	.412	.936
40	Travis Bazzana	CLE	10.6%	.297	.375	156	104	15.4%	.560	.401	.935
41	Gabriel Moreno	ARI	10.0%	.318	.390	155	100	21.0%	.541	.398	.931
42	Weston Wilson	BAL	10.0%	.294	.400	160	20	25.0%	.529	.406	.929
43	Drake Baldwin	ATL	10.7%	.299	.393	159	112	23.2%	.536	.405	.929
44	Colt Emerson	SEA	6.1%	.267	.327	151	49	22.4%	.600	.392	.927
45	Brandon Lowe	PIT	9.9%	.276	.342	149	152	25.7%	.582	.389	.924
46	Blaze Jordan	STL	0.0%	.346	.346	153	26	15.4%	.577	.395	.923
47	Gavin Sheets	SDP	12.4%	.277	.372	154	137	19.0%	.546	.397	.918
48	Justin Foscue	TEX	6.0%	.356	.400	153	50	26.0%	.511	.395	.911
49	Nathan Lukes	TOR	3.9%	.357	.395	153	77	6.5%	.514	.395	.909
50	Jorge Mateo	ATL	5.6%	.313	.352	149	71	25.4%	.552	.390	.904
51	Casey Schmitt	SFG	0.6%	.331	.348	148	181	19.3%	.554	.388	.902
52	Alec Burleson	STL	9.2%	.293	.356	145	163	15.3%	.544	.384	.900
53	Austin Slater	3 Tms	17.5%	.364	.475	162	40	22.5%	.424	.409	.899
54	Jordan Walker	STL	7.4%	.282	.331	140	163	27.0%	.557	.376	.888
55	Jackson Chourio	MIL	5.3%	.315	.347	140	95	21.1%	.539	.377	.887
56	Mitch Garver	SEA	15.5%	.286	.397	149	58	25.9%	.490	.390	.886
57	Ty France	SDP	5.1%	.278	.325	140	78	24.4%	.556	.377	.880
58	Jung Hoo Lee	SFG	4.1%	.346	.382	145	170	8.8%	.497	.383	.879
59	Nick Kurtz	ATH	19.4%	.271	.412	146	165	29.1%	.466	.385	.878
60	Sam Antonacci	CHW	7.4%	.294	.410	149	122	13.9%	.461	.390	.871
61	James Wood	WSN	17.6%	.252	.390	142	187	32.1%	.477	.379	.867
62	JJ Wetherholt	STL	12.3%	.279	.409	148	171	17.5%	.457	.388	.866
63	Jonny DeLuca	TBR	6.8%	.309	.356	139	59	18.6%	.509	.375	.865
64	Ronald Acuña Jr.	ATL	15.4%	.274	.402	143	117	16.2%	.463	.381	.865
65	Bryce Harper	PHI	16.2%	.246	.365	137	148	22.3%	.500	.372	.865
66	Alex Jackson	MIN	0.0%	.357	.400	145	30	33.3%	.464	.383	.864
67	Dillon Dingler	DET	6.1%	.252	.320	133	147	21.8%	.542	.366	.862
68	Vaughn Grissom	LAA	9.7%	.295	.373	138	103	10.7%	.489	.374	.861
69	Tyler Black	MIL	0.0%	.286	.286	130	7	14.3%	.571	.361	.857
70	Victor Mesa Jr.	TBR	15.2%	.259	.375	140	33	18.2%	.481	.377	.856
71	Amed Rosario	NYY	3.5%	.288	.298	124	57	19.3%	.558	.352	.856
72	Luis García Jr.	WSN	3.2%	.289	.310	131	126	17.5%	.545	.364	.855
73	Cody Freeman	TEX	9.1%	.400	.455	148	11	36.4%	.400	.388	.855
74	Cooper Pratt	MIL	9.1%	.400	.455	148	11	9.1%	.400	.388	.855
75	Brice Matthews	HOU	10.5%	.293	.365	137	105	23.8%	.489	.371	.855
76	Taylor Trammell	HOU	11.1%	.323	.400	141	36	38.9%	.452	.377	.852
77	Oneil Cruz	PIT	11.7%	.258	.350	134	137	38.0%	.500	.368	.850
78	Jake Burger	TEX	8.8%	.263	.329	132	170	27.1%	.520	.364	.849
79	Oswald Peraza	LAA	6.3%	.276	.339	133	127	31.5%	.509	.367	.847
80	Max Schuemann	NYY	26.1%	.235	.435	147	23	26.1%	.412	.386	.847
81	David Hamilton	MIL	12.9%	.313	.412	142	101	22.8%	.434	.379	.846
82	Corey Seager	TEX	16.2%	.220	.351	132	111	23.4%	.495	.364	.846
83	Carlos Correa	HOU	10.0%	.333	.400	139	70	21.4%	.444	.376	.844
84	Eloy Jiménez	TOR	13.6%	.389	.455	142	22	9.1%	.389	.379	.843
85	Brandon Nimmo	TEX	7.1%	.294	.359	133	170	21.2%	.484	.366	.842
86	Jake Bauers	MIL	14.4%	.280	.384	138	125	24.0%	.458	.373	.842
87	Christian Walker	HOU	7.6%	.257	.318	127	157	15.3%	.521	.357	.839
88	Bryce Eldridge	SFG	10.8%	.301	.373	134	83	21.7%	.466	.367	.839
89	Eli White	ATL	5.2%	.283	.328	127	58	13.8%	.509	.357	.837
90	Aaron Judge	NYY	17.8%	.231	.372	131	146	26.7%	.462	.363	.834
91	Kyle Farmer	ATL	0.0%	.500	.333	86	3	33.3%	.500	.297	.833
92	Willson Contreras	BOS	7.9%	.254	.349	129	152	28.9%	.485	.361	.833
93	Kevin McGonigle	DET	11.9%	.295	.387	136	168	13.7%	.445	.370	.832
94	Hao-Yu  Lee	DET	3.4%	.298	.322	127	59	23.7%	.509	.357	.831
95	Samad Taylor	SDP	5.4%	.353	.389	135	37	24.3%	.441	.369	.830
96	Zach Neto	LAA	11.7%	.244	.340	129	197	31.0%	.488	.361	.828
97	Sterlin Thompson	COL	10.6%	.244	.340	129	47	25.5%	.488	.361	.828
98	TJ Rumfield	COL	7.8%	.285	.353	130	153	16.3%	.474	.361	.827
99	Taylor Ward	BAL	17.4%	.261	.390	135	172	24.4%	.437	.369	.826
100	Jonathan Aranda	TBR	14.1%	.286	.388	129	170	24.1%	.436	.361	.824
101	Daulton Varsho	TOR	7.3%	.286	.341	124	123	19.5%	.482	.353	.824
102	Endy Rodríguez	PIT	14.0%	.279	.380	133	50	24.0%	.442	.366	.822
103	Pete Alonso	BAL	9.7%	.247	.327	125	165	26.1%	.493	.355	.820
104	Kyle Schwarber	PHI	15.2%	.224	.342	126	158	34.2%	.478	.356	.819
105	Connor Wong	BOS	7.3%	.306	.370	130	55	14.5%	.449	.361	.819
106	Juan Soto	NYM	13.2%	.239	.338	117	136	16.2%	.479	.342	.817
107	Kyle Tucker	LAD	13.0%	.277	.370	127	162	19.1%	.445	.358	.816
108	Santiago Espinal	LAD	3.2%	.379	.400	131	31	19.4%	.414	.363	.814
109	Trevor Larnach	MIN	6.3%	.293	.354	125	128	19.5%	.457	.355	.811
110	Corbin Carroll	ARI	11.2%	.258	.349	124	152	23.0%	.462	.352	.811
111	Tristan Peters	CHW	7.9%	.300	.360	125	114	21.1%	.450	.355	.810
112	Kerry Carpenter	DET	9.1%	.247	.330	122	88	34.1%	.481	.350	.810
113	Dominic Canzone	SEA	6.3%	.253	.302	117	96	19.8%	.506	.343	.808
114	Spencer Horwitz	PIT	13.6%	.265	.371	127	140	14.3%	.436	.357	.807
115	Randal Grichuk	2 Tms	3.3%	.254	.279	117	61	26.2%	.525	.343	.804
116	Pete Crow-Armstrong	CHC	6.9%	.264	.338	123	160	25.0%	.465	.352	.803
117	Jared Young	NYM	9.6%	.261	.346	124	52	23.1%	.457	.353	.803
118	Shea Langeliers	ATH	5.1%	.250	.301	118	156	20.5%	.500	.344	.801
119	Joe Mack	MIA	8.6%	.260	.339	123	58	27.6%	.460	.351	.799
120	Bryan Torres	STL	8.0%	.261	.320	118	25	12.0%	.478	.345	.798
121	Luis Arraez	SFG	6.8%	.314	.354	116	192	3.1%	.442	.342	.796
122	Henry Bolte	ATH	13.3%	.289	.400	129	45	31.1%	.395	.361	.795
123	Anthony Volpe	NYY	18.9%	.256	.396	129	53	22.6%	.395	.360	.792
124	Michael Conforto	CHC	13.4%	.241	.343	121	67	26.9%	.448	.348	.792
125	Xavier Edwards	MIA	14.0%	.291	.389	125	157	12.7%	.403	.355	.792
126	Gleyber Torres	DET	20.2%	.271	.413	127	109	14.7%	.376	.358	.789
127	Miguel Andujar	SDP	2.0%	.292	.320	116	100	19.0%	.469	.341	.789
128	Jonah Heim	2 Tms	5.8%	.250	.288	111	52	17.3%	.500	.334	.788
129	Alex Bregman	CHC	8.6%	.299	.370	123	162	19.8%	.417	.351	.787
130	Wilyer Abreu	BOS	7.6%	.276	.331	118	157	20.4%	.455	.344	.786
131	Eric Haase	SFG	9.3%	.211	.286	113	43	32.6%	.500	.337	.786
132	Riley Greene	DET	12.8%	.280	.372	123	172	27.3%	.413	.352	.785
133	Troy Johnston	COL	7.7%	.289	.364	121	130	17.7%	.421	.349	.785
134	Otto Lopez	MIA	5.7%	.321	.363	118	157	15.9%	.421	.344	.784
135	Tyler Stephenson	CIN	12.2%	.253	.339	117	115	27.0%	.444	.343	.784
136	Braxton Fulford	COL	12.5%	.250	.333	113	24	29.2%	.450	.337	.783
137	Chase DeLauter	CLE	10.6%	.254	.333	118	132	18.9%	.449	.343	.782
138	Dane Myers	CIN	10.8%	.268	.354	119	65	29.2%	.429	.345	.782
139	Lourdes Gurriel Jr.	ARI	6.4%	.302	.340	115	47	21.3%	.442	.340	.782
140	Ryan Kreidler	MIN	6.8%	.293	.341	117	44	20.5%	.439	.342	.780
141	Curtis Mead	WSN	10.9%	.221	.327	118	110	14.5%	.453	.343	.780
142	Willy Adames	SFG	5.5%	.247	.291	112	182	27.5%	.488	.335	.779
143	Bobby Witt Jr.	KCR	12.6%	.283	.377	119	167	20.4%	.400	.346	.777
144	Kyle Manzardo	CLE	7.9%	.235	.307	114	127	29.1%	.470	.338	.777
145	Colson Montgomery	CHW	10.7%	.203	.302	110	169	32.0%	.473	.332	.775
146	Yandy Díaz	TBR	9.8%	.296	.379	117	174	16.7%	.395	.342	.774
147	Jac Caglianone	KCR	8.7%	.282	.357	118	115	28.7%	.417	.345	.774
148	Matt Shaw	CHC	7.6%	.224	.308	113	66	16.7%	.466	.337	.773
149	Miguel Amaya	CHC	10.3%	.234	.368	123	58	15.5%	.404	.351	.773
150	Ceddanne Rafaela	BOS	5.9%	.268	.333	115	135	20.0%	.439	.340	.772
151	Byron Buxton	MIN	5.5%	.234	.279	107	165	32.1%	.494	.328	.772
152	Mickey Moniak	COL	7.0%	.246	.310	112	71	35.2%	.462	.335	.771
153	Pedro Ramírez	CHC	0.0%	.231	.231	104	13	15.4%	.538	.324	.769
154	Miguel Vargas	CHW	13.3%	.225	.341	116	165	18.8%	.428	.342	.769
155	Liam Hicks	MIA	11.9%	.260	.345	113	143	10.5%	.423	.337	.768
156	José Fermín	STL	3.8%	.280	.308	111	52	13.5%	.460	.333	.768
157	Joc Pederson	TEX	14.2%	.282	.390	119	106	21.7%	.376	.346	.767
158	Sal Stewart	CIN	10.7%	.252	.331	109	169	18.3%	.435	.331	.767
159	Daylen Lile	WSN	5.7%	.286	.330	109	176	17.0%	.435	.330	.764
160	Cole Carrigg	COL	15.4%	.182	.308	111	26	23.1%	.455	.334	.762
161	Ozzie Albies	ATL	7.0%	.286	.333	110	171	14.0%	.429	.332	.762
162	Teoscar Hernández	LAD	9.7%	.253	.327	108	113	28.3%	.434	.330	.762
163	Ezequiel Duran	TEX	6.9%	.275	.326	110	145	26.9%	.435	.332	.762
164	Geraldo Perdomo	ARI	14.9%	.254	.373	118	154	14.3%	.389	.344	.761
165	Blaze Alexander	BAL	5.2%	.281	.323	109	96	20.8%	.438	.331	.761
166	Ryan Vilade	TBR	9.0%	.283	.343	112	67	23.9%	.417	.335	.760
