#	Name	Team	BB% BB% - Walk Percentage (BB/PA)	AVG AVG - Batting Average (H/AB)	OBP OBP - On Base Percentage	wRC+ wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA	PA PA - Plate Appearances	K% K% - Strikeout Percentage (SO/PA)	SLG SLG - Slugging Percentage	wOBA wOBA - Weighted On Base Average (Linear Weights)	OPS OPS - On Base + Slugging Percentage
1	Enrique Hernández	LAD	0.0%	1.000	1.000	816	4	0.0%	2.250	1.368	3.250
2	Rafael Flores Jr.	PIT	40.0%	.667	.800	522	5	0.0%	2.000	.943	2.800
3	Justin Dean	CHC	0.0%	.500	.500	432	2	0.0%	1.500	.799	2.000
4	Will Wagner	SDP	33.3%	.750	.833	397	6	0.0%	1.000	.742	1.833
5	Rowdy Tellez	ATL	0.0%	.333	.333	349	3	66.7%	1.333	.684	1.667
6	Tyler Callihan	PIT	22.7%	.438	.591	310	22	22.7%	1.000	.631	1.591
7	Jair Camargo	ATL	0.0%	.500	.500	313	2	50.0%	1.000	.632	1.500
8	Deyvison De Los Santos	MIA	0.0%	.500	.500	312	2	0.0%	1.000	.632	1.500
9	Billy Cook	PIT	0.0%	.667	.667	285	6	0.0%	.667	.595	1.333
10	Andrés Chaparro	WSN	40.0%	.333	.600	247	10	0.0%	.667	.533	1.267
11	John Rave	KCR	40.0%	.333	.600	240	5	20.0%	.667	.533	1.267
12	Wade Meckler	LAA	14.7%	.414	.500	219	34	23.5%	.655	.496	1.155
13	Juan Soto	NYM	14.9%	.373	.467	223	121	9.9%	.686	.488	1.153
14	Cole Carrigg	COL	17.4%	.333	.478	186	23	13.0%	.667	.484	1.145
15	Gabriel Arias	CLE	8.3%	.364	.417	215	12	25.0%	.727	.483	1.144
16	José Azócar	ATL	8.3%	.455	.500	218	12	16.7%	.636	.492	1.136
17	Yordan Alvarez	HOU	13.8%	.349	.454	206	174	15.5%	.678	.473	1.132
18	Cody Bellinger	NYY	14.3%	.367	.448	206	154	9.7%	.680	.471	1.128
19	Byron Buxton	MIN	9.5%	.328	.401	202	137	17.5%	.713	.469	1.115
20	Kyle Schwarber	PHI	13.1%	.284	.394	195	175	33.7%	.716	.461	1.111
21	JJ Bleday	CIN	18.9%	.280	.421	185	95	16.8%	.680	.456	1.101
22	Parker Meadows	DET	8.3%	.400	.500	207	12	16.7%	.600	.476	1.100
23	Nick Kurtz	ATH	21.3%	.308	.463	192	188	29.8%	.637	.461	1.100
24	Yandy Díaz	TBR	9.4%	.364	.439	198	139	8.6%	.653	.464	1.092
25	Mickey Moniak	COL	5.4%	.306	.355	161	93	16.1%	.718	.447	1.072
26	Ryan Kreidler	MIN	15.6%	.297	.422	190	45	17.8%	.649	.453	1.071
27	Lars Nootbaar	STL	20.0%	.368	.480	189	25	28.0%	.579	.441	1.059
28	Brendan Donovan	SEA	12.5%	.342	.458	201	48	18.8%	.579	.446	1.037
29	Elly De La Cruz	CIN	9.6%	.345	.408	174	125	30.4%	.619	.440	1.027
30	Bryan Reynolds	PIT	18.1%	.333	.462	180	171	17.0%	.563	.440	1.025
31	Corbin Carroll	ARI	11.6%	.303	.390	174	164	18.9%	.627	.429	1.017
32	Dominic Canzone	SEA	11.4%	.308	.400	192	105	19.0%	.615	.434	1.015
33	Ben Rice	NYY	15.2%	.267	.377	176	138	25.4%	.638	.427	1.015
34	Josh Jung	TEX	7.9%	.378	.432	186	139	14.4%	.583	.440	1.014
35	Nelson Velázquez	STL	4.8%	.368	.429	187	21	23.8%	.579	.438	1.008
36	Jordan Lawlar	ARI	7.1%	.375	.464	184	28	21.4%	.542	.444	1.006
37	Scott Kingery	CHC	0.0%	.500	.500	192	2	0.0%	.500	.446	1.000
38	LaMonte Wade Jr.	HOU	0.0%	.300	.300	171	10	30.0%	.700	.421	1.000
39	Luke Williams	ATL	100.0%	.000	1.000	360	1	0.0%	.000	.700	1.000
40	Jonah Cox	SFG	0.0%	.333	.333	172	7	57.1%	.667	.415	1.000
41	CJ Kayfus	CLE	0.0%	.333	.333	175	12	16.7%	.667	.425	1.000
42	James Wood	WSN	15.4%	.290	.406	170	175	25.7%	.593	.419	.999
43	Bryce Eldridge	SFG	16.4%	.294	.410	178	61	19.7%	.588	.424	.998
44	Aaron Judge	NYY	13.9%	.268	.377	169	115	28.7%	.619	.415	.996
45	Keibert Ruiz	WSN	2.4%	.359	.378	173	82	12.2%	.615	.423	.993
46	Junior Caminero	TBR	15.6%	.320	.422	167	154	17.5%	.563	.418	.985
47	Jesús Sánchez	TOR	4.2%	.321	.367	168	120	25.0%	.615	.415	.981
48	Willson Contreras	BOS	10.5%	.310	.408	161	152	24.3%	.566	.420	.974
49	Tyler Soderstrom	ATH	16.8%	.273	.404	160	161	15.5%	.568	.414	.972
50	Ryan Ward	LAD	9.1%	.250	.318	162	22	36.4%	.650	.406	.968
51	Griffin Conine	MIA	8.7%	.286	.348	161	23	21.7%	.619	.411	.967
52	Pete Crow-Armstrong	CHC	10.1%	.308	.387	167	169	24.9%	.575	.409	.962
53	Trent Grisham	NYY	15.5%	.299	.405	167	116	12.1%	.557	.414	.962
54	Samad Taylor	SDP	17.6%	.385	.500	187	17	35.3%	.462	.433	.962
55	Brandon Valenzuela	TOR	13.8%	.294	.388	164	80	22.5%	.574	.410	.961
56	Alika Williams	ATH	3.1%	.333	.355	156	32	25.0%	.600	.408	.955
57	Wyatt Langford	TEX	8.1%	.281	.339	161	62	24.2%	.614	.403	.953
58	Eric Wagaman	NYM	0.0%	.167	.286	162	7	42.9%	.667	.397	.952
59	Nathaniel Lowe	CIN	13.6%	.237	.341	145	88	20.5%	.605	.397	.946
60	Gary Sánchez	MIL	18.2%	.278	.409	166	66	19.7%	.537	.412	.946
61	Brice Turang	MIL	14.3%	.310	.410	164	168	26.2%	.535	.409	.945
62	Jeremy Peña	HOU	5.1%	.338	.372	161	78	19.2%	.568	.405	.939
63	Zack Gelof	ATH	4.6%	.322	.364	152	131	22.1%	.570	.403	.935
64	Jhonny Pereda	SEA	6.1%	.333	.394	172	33	21.2%	.533	.405	.927
65	Bryce Harper	PHI	14.0%	.283	.378	148	172	15.7%	.545	.393	.923
66	Ryan Waldschmidt	ARI	5.3%	.377	.411	156	57	36.8%	.509	.402	.920
67	Brandon Marsh	PHI	5.8%	.352	.385	149	156	26.9%	.531	.393	.916
68	Jake McCarthy	COL	5.7%	.316	.352	122	106	17.9%	.561	.389	.914
69	Tyler Freeman	COL	6.8%	.362	.479	141	73	8.2%	.431	.417	.910
70	Kameron Misner	KCR	5.6%	.438	.471	156	18	22.2%	.438	.409	.908
71	Dillon Dingler	DET	9.0%	.287	.357	149	145	19.3%	.550	.391	.907
72	Shea Langeliers	ATH	9.7%	.291	.364	143	165	17.6%	.541	.389	.904
73	Munetaka Murakami	CHW	18.9%	.214	.361	141	122	31.1%	.541	.379	.901
74	Jackson Chourio	MIL	9.3%	.287	.361	151	97	25.8%	.540	.390	.901
75	Aramis Garcia	ARI	0.0%	.300	.300	144	10	40.0%	.600	.384	.900
76	Shohei Ohtani	LAD	14.8%	.266	.389	147	149	24.8%	.508	.385	.897
77	Samuel Basallo	BAL	8.3%	.287	.342	144	120	23.3%	.556	.379	.897
78	Ryan Vilade	TBR	9.4%	.291	.349	139	64	14.1%	.545	.377	.895
79	Spencer Horwitz	PIT	13.5%	.301	.405	148	148	12.2%	.488	.392	.893
80	Adley Rutschman	BAL	13.1%	.282	.369	146	122	12.3%	.524	.382	.893
81	Liam Hicks	MIA	8.3%	.296	.372	143	145	9.0%	.520	.385	.892
82	Jake Bauers	MIL	11.6%	.261	.362	144	138	24.6%	.529	.380	.892
83	Tommy Edman	LAD	7.1%	.385	.429	154	14	14.3%	.462	.395	.890
84	Ian Happ	CHC	15.5%	.248	.369	147	168	28.6%	.518	.381	.887
85	Andy Pages	LAD	6.3%	.297	.348	144	158	14.6%	.538	.380	.886
86	Seiya Suzuki	CHC	14.6%	.281	.394	148	137	20.4%	.491	.381	.885
