#	Name	Team	BB% BB% - Walk Percentage (BB/PA)	AVG AVG - Batting Average (H/AB)	OBP OBP - On Base Percentage	wRC+ wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA	PA PA - Plate Appearances	K% K% - Strikeout Percentage (SO/PA)	SLG SLG - Slugging Percentage	wOBA wOBA - Weighted On Base Average (Linear Weights)	OPS OPS - On Base + Slugging Percentage
1	Rafael Flores Jr.	PIT	50.0%	1.000	1.000	823	2	0.0%	4.000	1.382	5.000
2	Enrique Hernández	LAD	0.0%	1.000	1.000	1018	2	0.0%	3.000	1.665	4.000
3	Will Wilson	SEA	0.0%	.500	.500	591	2	0.0%	2.000	1.031	2.500
4	Aramis Garcia	ARI	0.0%	.667	.667	554	3	0.0%	1.667	.985	2.333
5	Miles Mastrobuoni	SEA	0.0%	1.000	1.000	498	1	0.0%	1.000	.894	2.000
6	Will Brennan	SFG	0.0%	1.000	1.000	496	2	0.0%	1.000	.894	2.000
7	Trey Mancini	LAA	0.0%	.667	.667	449	3	33.3%	1.333	.833	2.000
8	Tyler Callihan	PIT	25.0%	.667	.750	370	4	0.0%	1.000	.716	1.750
9	Andrew Vaughn	MIL	13.2%	.531	.605	314	38	7.9%	.906	.630	1.512
10	LaMonte Wade Jr.	HOU	0.0%	.500	.500	315	2	0.0%	1.000	.634	1.500
11	Michael Stefanic	ATH	0.0%	.667	.667	286	3	0.0%	.667	.596	1.333
12	Paul Goldschmidt	NYY	12.9%	.397	.500	249	70	14.3%	.776	.536	1.276
13	Carlos Cortes	ATH	0.0%	.500	.545	249	11	27.3%	.700	.541	1.245
14	Joey Wiemer	WSN	14.0%	.351	.442	226	43	32.6%	.757	.501	1.199
15	Jose Siri	LAA	10.5%	.353	.421	222	19	31.6%	.765	.499	1.186
16	Reese McGuire	CHW	0.0%	.500	.667	252	3	33.3%	.500	.542	1.167
17	Jimmy Crooks	STL	25.0%	.333	.500	222	4	25.0%	.667	.492	1.167
18	Miguel Vargas	CHW	20.0%	.338	.472	216	90	12.2%	.690	.489	1.162
19	Corbin Carroll	ARI	8.7%	.415	.467	216	92	16.3%	.683	.488	1.150
20	Tommy Troy	ARI	9.1%	.500	.545	227	11	9.1%	.600	.504	1.145
21	Nicky Lopez	2 Tms	0.0%	.571	.571	254	8	12.5%	.571	.511	1.143
22	Otto Lopez	MIA	2.9%	.478	.486	218	70	10.0%	.657	.493	1.142
23	Lars Nootbaar	STL	16.7%	.200	.333	200	6	33.3%	.800	.461	1.133
24	Eric Wagaman	NYM	0.0%	.200	.333	205	6	50.0%	.800	.466	1.133
25	Max Schuemann	NYY	35.7%	.333	.571	222	14	14.3%	.556	.496	1.127
