#	Name	Team	BB% BB% - Walk Percentage (BB/PA)	AVG AVG - Batting Average (H/AB)	OBP OBP - On Base Percentage	wRC+ wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA	PA PA - Plate Appearances	K% K% - Strikeout Percentage (SO/PA)	SLG SLG - Slugging Percentage	wOBA wOBA - Weighted On Base Average (Linear Weights)	OPS OPS - On Base + Slugging Percentage
1	Enrique Hernández	LAD	0.0%	1.000	1.000	618	2	0.0%	1.500	1.078	2.500
2	Justin Dean	CHC	0.0%	.500	.500	430	2	0.0%	1.500	.799	2.000
3	Gabriel Gonzalez	MIN	0.0%	1.000	1.000	490	1	0.0%	1.000	.892	2.000
4	Jonah Cox	SFG	0.0%	.600	.600	459	6	16.7%	1.400	.841	2.000
5	John Rave	KCR	37.5%	.400	.625	341	8	25.0%	1.200	.677	1.825
6	Rafael Flores Jr.	PIT	33.3%	.500	.667	328	3	0.0%	1.000	.655	1.667
7	Nick Solak	SDP	0.0%	.500	.667	256	3	0.0%	.500	.541	1.167
8	Tommy Edman	LAD	0.0%	.500	.500	220	8	12.5%	.625	.493	1.125
9	Yordan Alvarez	HOU	17.8%	.332	.455	199	242	17.8%	.658	.463	1.113
10	Cole Carrigg	COL	25.0%	.200	.429	177	28	17.9%	.650	.450	1.079
11	Ben Rice	NYY	14.6%	.302	.401	188	212	21.7%	.670	.445	1.071
12	LaMonte Wade Jr.	HOU	9.1%	.300	.364	188	11	27.3%	.700	.446	1.064
13	Juan Soto	NYM	17.1%	.314	.429	187	170	12.9%	.629	.441	1.058
14	Nick Kurtz	ATH	23.4%	.297	.464	184	239	26.8%	.588	.445	1.052
15	Elias Díaz	2 Tms	0.0%	.450	.450	195	20	15.0%	.600	.457	1.050
16	Luis Campusano	SDP	10.2%	.302	.388	187	49	22.4%	.651	.440	1.039
17	Bryce Harper	PHI	15.8%	.293	.403	178	196	16.8%	.628	.434	1.031
18	Braxton Fulford	COL	21.4%	.300	.429	159	14	14.3%	.600	.424	1.029
19	Mickey Moniak	COL	7.5%	.303	.358	160	134	20.1%	.656	.426	1.014
20	Alec Burleson	STL	10.4%	.330	.404	178	230	17.0%	.601	.428	1.005
21	Shohei Ohtani	LAD	19.3%	.301	.440	173	233	22.7%	.563	.424	1.002
22	Travis Bazzana	CLE	11.5%	.327	.408	175	130	13.8%	.593	.426	1.001
23	Rowdy Tellez	ATL	0.0%	.200	.200	163	5	40.0%	.800	.410	1.000
24	Steward Berroa	PHI	0.0%	.500	.500	186	2	0.0%	.500	.446	1.000
25	Junior Perez	CHW	100.0%	.000	1.000	360	1	0.0%	.000	.700	1.000
26	Brendan Donovan	SEA	13.0%	.311	.442	184	77	11.7%	.557	.432	.999
27	Munetaka Murakami	CHW	17.2%	.252	.385	166	174	29.9%	.601	.415	.986
