#	Name	Team	K/9 K/9 - Strikeouts per 9 Innings ((SO*9)/IP)	BB/9 BB/9 - Walks per 9 Innings ((BB*9)/IP)	K-BB% K-BB% - The difference between strikeout percentage and walk percentage	xFIP xFIP - Expected Fielder Independent Pitching where Home Runs are calculated as 10.5% of Fly Balls induced	SIERA SIERA - Skill Interactive ERA	IP IP - Innings Pitched
1	Aaron Civale	3 Tms	7.03	3.11	10.0%	4.95	4.82	144.2
2	Aaron Nola	PHI	9.26	2.81	16.6%	3.71	3.81	160.1
3	Adam Mazur	MIA	5.70	3.60	5.0%	5.22	5.28	30.0
4	Adrian Houser	3 Tms	6.54	2.94	9.3%	4.46	4.60	190.0
5	AJ Blubaugh	HOU	12.27	4.91	19.1%	3.87	3.82	11.0
6	AJ Smith-Shawver	ATL	8.53	4.26	10.9%	4.36	4.60	44.1
7	Andre Pallante	STL	6.44	3.38	7.8%	4.19	4.43	226.1
8	Andrew Abbott	CIN	7.54	2.84	12.5%	4.48	4.45	241.0
9	Andrew Alvarez	WSN	8.16	4.50	9.5%	4.05	4.38	32.0
10	Andrew Heaney	PIT	6.38	2.85	9.1%	4.89	4.85	117.0
11	Andrew Painter	PHI	6.79	3.06	9.1%	4.96	4.74	53.0
12	Anthony DeSclafani	ARI	8.56	3.29	12.5%	5.13	4.43	13.2
13	Anthony Kay	CHW	7.45	3.81	8.9%	4.78	4.59	54.1
14	Anthony Molina	COL	3.60	1.80	4.2%	6.02	5.73	5.0
15	Antonio Senzatela	COL	4.92	3.17	4.0%	5.16	5.25	108.0
16	Austin Gomber	COL	5.31	2.65	6.3%	5.67	5.44	57.2
17	Bailey Falter	2 Tms	5.66	3.37	6.1%	5.09	5.26	125.2
18	Bailey Ober	MIN	7.01	2.07	12.9%	4.78	4.58	213.0
19	Ben Brown	CHC	9.67	2.61	18.3%	3.58	3.63	107.0
20	Ben Casparius	LAD	8.38	1.86	16.3%	5.24	4.80	9.2
21	Ben Lively	CLE	5.84	3.02	7.9%	5.26	5.30	44.2
22	Blade Tidwell	NYM	7.36	7.36	0.0%	6.68	6.13	7.1
23	Blake Snell	LAD	10.77	3.92	18.0%	3.05	3.62	64.1
24	Bowden Francis	TOR	7.59	3.80	9.4%	5.21	4.88	64.0
25	Brad Lord	WSN	7.14	2.84	11.4%	4.10	4.37	92.0
26	Bradley Blalock	COL	4.04	3.72	0.8%	5.77	5.88	55.2
27	Brady Singer	CIN	8.21	3.16	12.9%	4.35	4.29	224.2
28	Brandon Eisert	CHW	7.11	1.42	14.8%	4.35	4.18	6.1
29	Brandon Pfaadt	ARI	7.36	2.00	13.7%	4.08	4.17	193.1
30	Brandon Sproat	2 Tms	8.55	4.01	11.6%	4.27	4.32	67.1
31	Brandon Walter	HOU	8.72	0.67	22.6%	3.14	3.21	53.2
32	Brandon Williamson	CIN	6.11	6.43	-0.8%	6.38	6.16	28.0
33	Brandon Woodruff	MIL	10.27	2.00	23.0%	3.64	3.30	94.2
34	Brandon Young	BAL	7.07	3.28	9.6%	4.64	4.68	107.0
35	Brant Hurter	DET	10.29	5.14	11.4%	5.18	4.54	7.0
36	Braxton Ashcraft	PIT	9.64	2.15	20.6%	3.19	3.26	113.0
37	Brayan Bello	BOS	6.52	3.60	7.4%	4.57	4.78	197.1
38	Braydon Fisher	TOR	12.71	4.76	18.5%	3.71	3.63	5.2
39	Brent Suter	2 Tms	5.40	3.09	6.0%	4.39	4.83	11.2
40	Bruce Zimmermann	MIL	1.50	3.00	-3.6%	6.11	5.98	6.0
41	Bryan Woo	SEA	9.32	1.71	21.5%	3.43	3.35	263.2
42	Bryce Elder	ATL	7.54	2.84	12.3%	3.99	4.22	241.0
43	Bryce Miller	SEA	7.93	3.12	12.7%	4.31	4.37	112.1
44	Bryse Wilson	CHW	5.82	4.15	3.7%	5.71	5.56	21.2
45	Bubba Chandler	PIT	9.08	4.83	10.7%	4.58	4.55	76.1
46	Cade Cavalli	WSN	8.82	3.04	14.3%	3.91	3.90	118.1
47	Cade Horton	CHC	7.12	2.60	12.6%	4.28	4.34	121.1
48	Cade Povich	BAL	8.74	3.30	13.9%	4.20	4.20	117.1
49	Caden Dana	LAA	9.23	4.44	12.5%	4.14	4.38	26.1
50	Cal Quantrill	2 Tms	6.50	2.68	9.7%	4.89	4.84	117.2
51	Cam Schlittler	NYY	10.05	2.61	20.6%	3.32	3.38	155.0
52	Carlos Carrasco	2 Tms	6.42	3.54	7.0%	5.09	5.14	40.2
53	Carlos Rodón	NYY	9.39	3.64	15.8%	3.93	3.98	220.1
54	Carmen Mlodzinski	PIT	7.28	3.01	10.7%	4.12	4.44	92.2
55	Carson Palmquist	COL	6.46	5.28	2.7%	6.37	5.91	30.2
56	Carson Seymour	SFG	4.82	2.89	4.5%	5.34	5.39	9.1
57	Carson Spiers	CIN	7.71	2.89	12.8%	4.36	4.37	9.1
58	Carson Whisenhunt	SFG	6.17	4.63	3.9%	5.48	5.46	23.1
59	Casey Mize	DET	8.60	2.20	17.2%	3.90	3.84	196.2
60	Chad Patrick	MIL	8.88	3.31	14.7%	4.24	4.20	144.0
61	Charlie Morton	3 Tms	9.45	4.58	11.6%	4.45	4.45	125.2
62	Chase Burns	CIN	11.86	2.95	24.3%	2.92	2.99	110.0
63	Chase Dollander	COL	7.58	4.59	7.4%	4.94	4.98	111.2
64	Chase Petty	CIN	5.06	6.19	-2.5%	6.45	6.40	16.0
65	Chris Bassitt	2 Tms	8.02	3.05	12.5%	4.20	4.24	215.1
66	Chris Paddack	4 Tms	6.42	2.37	10.4%	4.77	4.72	186.1
67	Chris Sale	ATL	11.30	2.29	24.7%	3.04	2.97	192.2
68	Christian Scott	NYM	10.25	4.50	14.7%	4.23	4.08	36.0
69	Clarke Schmidt	NYY	8.35	3.43	13.6%	4.44	4.37	78.2
